Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	5165	13509	72582	14357	1954	2023
41	Aqua	BCE5DC	Solid	82	60	1295	150	1998	2006
11	Black	212121	Solid	12375	12846	17380	12734	1957	2023
7	Blue	0057A6	Solid	4136	8483	7417	4598	1950	2023
97	Blue-Violet	506CEF	Solid	38	19	878	60	2004	2005
36	Bright Green	10CB31	Solid	720	2150	2454	811	1950	2023
105	Bright Light Blue	BCD1ED	Solid	523	631	2245	586	2004	2023
110	Bright Light Orange	FFC700	Solid	1226	1875	2786	1301	2003	2023
103	Bright Light Yellow	FFF08C	Solid	524	973	2179	580	2004	2023
104	Bright Pink	F7BCDA	Solid	646	1364	1651	701	2003	2023
8	Brown	6B3F22	Solid	582	1098	3494	963	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	508	15	2005	2005
220	Coral	FF8172	Solid	209	358	702	215	2019	2023
153	Dark Azure	009FE0	Solid	800	1091	1963	846	2011	2023
63	Dark Blue	243757	Solid	2358	2249	4510	2450	1961	2023
109	Dark Blue-Violet	2032B0	Solid	9	7	1048	21	2004	2006
85	Dark Bluish Gray	595D60	Solid	4109	6809	7950	4590	1991	2023
120	Dark Brown	50372F	Solid	796	1814	2892	846	2007	2023
10	Dark Gray	6B5A5A	Solid	1055	1706	4105	1511	1961	2006
80	Dark Green	2E5543	Solid	934	1141	3113	1021	1961	2023
225	Dark Nougat	CE7942	Solid	3	10	837	49	2001	2004
242	Dark Olive Green	76753F	Solid			156	1		
68	Dark Orange	B35408	Solid	810	1862	2342	863	1994	2023
47	Dark Pink	EF5BB3	Solid	792	1347	1600	865	1994	2023
89	Dark Purple	5F2683	Solid	1047	1328	2274	1161	2003	2023
59	Dark Red	6A0E15	Solid	1770	1947	4091	1848	1961	2023
231	Dark Salmon	FF6326	Solid	5	4	140	5	2003	2003
69	Dark Tan	B89869	Solid	1183	2540	3163	1228	1961	2023
39	Dark Turquoise	00A29F	Solid	714	899	1760	793	1998	2023
161	Dark Yellow	DD982E	Solid	5	5	684	19	2004	2005
29	Earth Orange	E6881D	Solid	44	88	933	60	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1243	16	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	228	9	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	459	3	1983	1987
6	Green	00923D	Solid	2094	5490	4779	2426	1949	2023
154	Lavender	D3BDE3	Solid	378	546	891	433	2011	2023
152	Light Aqua	CFEFEA	Solid	508	640	994	530	2011	2023
62	Light Blue	C8D9E1	Solid	19	18	830	92	1950	2007
86	Light Bluish Gray	AFB5C7	Solid	4718	7396	8573	5301	1993	2023
91	Light Brown	99663E	Solid	40	28	1656	92	2002	2006
9	Light Gray	9C9C9C	Solid	1866	3205	5659	2497	1954	2008
38	Light Green	D7EED1	Solid	64	57	596	115	1992	2005
246	Light Lilac	CDCCEE	Solid	1	1	52	2	2004	2004
35	Light Lime	ECEEBD	Solid	20	16	471	44	1992	2007
