Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	5820	14716	88785	15634	1954	2025
41	Aqua	BCE5DC	Solid	82	60	1260	138	1998	2006
11	Black	212121	Solid	13685	14061	18971	14148	1957	2025
7	Blue	0057A6	Solid	4416	9149	7902	4947	1950	2025
97	Blue-Violet	506CEF	Solid	38	19	754	63	2004	2005
36	Bright Green	10CB31	Solid	929	2648	2589	1054	1950	2025
105	Bright Light Blue	BCD1ED	Solid	630	843	2462	715	2004	2025
110	Bright Light Orange	FFC700	Solid	1568	2353	3113	1680	2003	2025
103	Bright Light Yellow	FFF08C	Solid	674	1259	2277	731	2004	2025
104	Bright Pink	F7BCDA	Solid	800	1715	1829	875	2003	2025
8	Brown	6B3F22	Solid	578	1100	3602	982	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	522	17	2005	2005
220	Coral	FF8172	Solid	291	531	1006	299	2019	2025
153	Dark Azure	009FE0	Solid	983	1425	2186	1034	2011	2025
63	Dark Blue	243757	Solid	2763	2715	4990	2870	1961	2025
109	Dark Blue-Violet	2032B0	Solid	8	6	905	19	2004	2006
85	Dark Bluish Gray	595D60	Solid	4462	7781	8403	4989	1991	2025
120	Dark Brown	50372F	Solid	915	2175	2996	993	2007	2025
10	Dark Gray	6B5A5A	Solid	1050	1705	4032	1521	1961	2006
80	Dark Green	2E5543	Solid	1093	1444	3233	1187	1961	2025
225	Dark Nougat	CE7942	Solid	3	10	841	51	2001	2004
242	Dark Olive Green	76753F	Solid	1	1	251	8		
68	Dark Orange	B35408	Solid	974	2317	2549	1059	1994	2025
47	Dark Pink	EF5BB3	Solid	958	1635	1802	1023	1994	2025
89	Dark Purple	5F2683	Solid	1180	1573	2494	1295	2000	2025
59	Dark Red	6A0E15	Solid	2049	2307	4265	2127	1957	2025
231	Dark Salmon	FF6326	Solid	5	4	144	7	2003	2003
69	Dark Tan	B89869	Solid	1378	3083	3452	1447	1961	2025
39	Dark Turquoise	00A29F	Solid	889	1230	2032	969	1998	2025
161	Dark Yellow	DD982E	Solid	5	5	666	20	2004	2005
29	Earth Orange	E6881D	Solid	44	85	957	57	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1188	13	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	296	13	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	450	6	1983	1987
6	Green	00923D	Solid	2243	6042	5024	2589	1949	2025
154	Lavender	D3BDE3	Solid	464	717	1090	525	2011	2025
171	Lemon	EDDC44	Solid	3	1	17	3	1992	1992
152	Light Aqua	CFEFEA	Solid	615	868	1210	664	2011	2025
62	Light Blue	C8D9E1	Solid	19	18	823	77	1950	2007
86	Light Bluish Gray	AFB5C7	Solid	5260	8475	9363	5923	1993	2025
91	Light Brown	99663E	Solid	42	31	1653	88	2002	2006
9	Light Gray	9C9C9C	Solid	1865	3204	5501	2510	1954	2008
38	Light Green	D7EED1	Solid	64	57	589	123	1992	2005
246	Light Lilac	CDCCEE	Solid	1	1	60	3	2004	2004
35	Light Lime	ECEEBD	Solid	18	16	435	40	1998	2007
90	Light Nougat	FECCB0	Solid	2125	2100	3535	2128	2004	2025
32	Light Orange	FFBC36	Solid	17	17	482	77	1998	2004
93	Light Purple	AF3195	Solid	27	20	602	53	2003	2006
26	Light Salmon	FCC7B7	Solid	51	23	345	56	1997	2002
40	Light Turquoise	00C5BC	Solid	60	40	715	84	1998	2004
44	Light Violet	C9CAE2	Solid	69	38	315	81	1994	2002
33	Light Yellow	FEE89F	Solid	103	71	1092	164	1994	2005
245	Lilac	7862CE	Solid	8	7	360	13	2004	2007
34	Lime	C4E000	Solid	1984	3344	3194	2148	1998	2025
247	Little Robots Blue	5DBFE4	Solid	2	2	62	3	2003	2004
72	Maersk Blue	7DC1D8	Solid	84	14	708	108	1974	2011
71	Magenta	B72276	Solid	708	1348	1687	787	2000	2025
156	Medium Azure	6ACEE0	Solid	1063	2081	2125	1155	2012	2025
42	Medium Blue	82ADD8	Solid	929	1244	2244	1063	1949	2025
240	Medium Brown	A16C42	Solid	90	94	1148	92	2022	2025
94	Medium Dark Pink	F785B1	Solid	14	6	504	48	1992	1993
37	Medium Green	91DF8C	Solid	124	108	672	132	1950	2004
157	Medium Lavender	C689D9	Solid	657	974	1198	695	2012	2025
76	Medium Lime	DFE000	Solid	68	43	630	79	1998	2005
